,nickname,text,score,like,dislike,time,watch_movie
7093,akir****,내가 이상한건가 평점에 기대했지만 평탄한 스토리에 2틀에 나눠봤습니다,2,0,1,2011-05-18 11:51:00,0
7094,yaki****,한번은 볼만한 영화.... 하지만.. 평점만보고 보신다면 실망합니다,2,0,1,2011-05-18 01:03:00,0
7095,mk28****,"절실한 노년의 사랑 이야기, 이순재의 MVP급 연기력.",7,0,1,2011-05-17 23:01:00,0
7096,pisg****,그런 식의 사랑은 싫다.ㅠㅠ,7,0,1,2011-05-16 13:23:00,0
7097,czsu****,배우의 힘 앞에 작품의 평이함도 무력해진다,7,0,1,2011-05-16 11:06:00,0
7098,cine****,강풀원작중에 가장 괜찮은 스코어,4,0,1,2011-05-16 10:02:00,0
7099,alan****,영화는 그럭저럭이지만 배우 이순재는 최고다!,7,0,1,2011-05-16 01:42:00,0
7100,ysmi****,"극장에서 어떻게 롱런했는지.. 딱히 칭찬할 만한 구석도, 흠잡을 구석도 없다.",7,0,1,2011-05-15 02:40:00,0
7101,free****,원작을 너무 감동으로 봐서 그런지 약간은 아쉬웠따.ㅠㅠ,7,0,1,2011-05-14 23:05:00,0
7102,thec****,아직은 내가 그대의 사랑을 공감하기에는 덜 영글었나보다,6,0,1,2011-05-12 14:28:00,0
7103,mylo****,평점 너무 높다...--,6,0,1,2011-05-11 23:03:00,0
